Name,Position,Species,Speed,Strength,Gumption,Finesse,Accuracy,Wow_Factor,Catchphrase,Projected_Skill,Status,Player_Team,City_Team,GPs,TPs,City_team
DJ,WR,Slow Loris,50,75,100,60,45,80,EVERYBODY ON THE DANCE FLOOR,60,Benched,No Team,Jakarta Divers,0,0.0,
Helmet Boy,WR,Human,90,55,99,78,15,75,WHOAAAOAOOA,82,Active,Mind Goblins,New York Sewers,0,37.6,
The Wah,TE,Horror,69,93,93,40,15,60,... INTENSIFIED WAHS ...,65,Benched,No Team,Chernobyl Radiation,0,0.0,
Boz,RB,Panda,39,94,40,69,50,100,no thoughts just thots,63,Benched,No Team,Auckland Spiders,0,0.0,
Cocaine,RB,Penguin,96,77,76,20,10,69,GVFiyuaofgiuhedioqwhgf,52,Benched,No Team,Artic Angels,0,0.0,Artic Angels
Jarrett Tranel,TE,Human,32,100,8,67,45,7,"Hey, its me, ol Jarrett",31,Healthy,No Team,No Team,0,0.0,
Ashley Torosian,K,Human,99,16,71,16,92,9,IM BAD AT CONNECT 4,69,Active,Developers,New Orleans Tubas,0,16.0,
Darin Torosian,WR,Human,33,12,56,42,57,9,"I own Kroger, and this game",31,Benched,BonerFarts,Chernobyl Radiation,0,0.0,
Opal,WR,Rabbit,95,22,100,22,50,80,>:(,62,Benched,No Team,Boston Walkers,0,0.0,
Jeff Probst,QB,Human,50,60,80,80,75,100,"IN THIS GAME, FIRE REPRESENTS YOUR LIFE",71,Active,anxious ponchos,Sydney Kangeroos,0,92.74000000000004,
Brother Sun Seeker,TE,Bear,46,32,18,8,52,25,Brother Sun Seeker is ready to roll!,15,Healthy,No Team,No Team,0,0.0,
Talon Hawkshade,QB,Hawk,96,19,100,63,29,93,Talon Hawkshade is ready to roll!,59,Benched,No Team,Lima Llamas,0,0.0,
Rage Elemental,RB,Monster,20,71,56,44,56,17,Rage Elemental is ready to roll!,43,Healthy,No Team,No Team,0,0.0,
Hawkstorm Aero Blaze,TE,Hawk,89,82,71,58,1,43,Hawkstorm Aero Blaze is ready to roll!,60,Benched,No Team,Dubuque Psychos,0,0.0,
Floofy Lioness,WR,Cat,94,44,78,9,52,86,Floofy Lioness is ready to roll!,58,Benched,No Team,Paris Frenchmen,0,0.0,
Feather Fury Honkerson,QB,Goose,56,14,12,53,31,46,Feather Fury Honkerson is ready to roll!,30,Healthy,No Team,No Team,0,0.0,
Trash Titan Grim Bandit,WR,Raccoon,23,57,12,5,4,2,Trash Titan Grim Bandit is ready to roll!,11,Healthy,No Team,No Team,0,0.0,
Rampager Deepwood Menace,RB,Badger,46,97,41,15,96,41,Rampager Deepwood Menace is ready to roll!,30,Healthy,No Team,No Team,0,0.0,
Wild Quicktail,RB,Fox,86,84,6,61,62,33,Wild Quicktail is ready to roll!,33,Healthy,No Team,No Team,0,0.0,
Nessie Nemo,TE,Sea Creature,45,92,1,50,55,54,Nessie Nemo is ready to roll!,31,Healthy,No Team,No Team,0,0.0,
Scrap King Shadowmask,QB,Raccoon,36,42,82,12,18,80,Scrap King Shadowmask is ready to roll!,38,Healthy,No Team,No Team,0,0.0,
The Horrible Smelly,RB,Human,9,79,89,44,62,39,The Horrible Smelly is ready to roll!,61,Benched,No Team,Philly Flowers,0,0.0,
Forsaken Lady of the Lake,QB,Human,54,28,83,76,69,86,Forsaken Lady of the Lake is ready to roll!,64,Benched,No Team,Djibouti Warriors,0,0.0,
Kodiak Titan,RB,Bear,5,26,32,3,32,23,Kodiak Titan is ready to roll!,18,Healthy,No Team,No Team,0,0.0,
Unleashed Shadow,QB,Wolf,54,38,21,97,3,77,Unleashed Shadow is ready to roll!,35,Healthy,No Team,No Team,0,0.0,
Paddlebreaker Splash Knight,TE,Otter,74,83,82,24,88,78,Paddlebreaker Splash Knight is ready to roll!,58,Healthy,No Team,No Team,0,0.0,
Splash Brooktail,TE,Otter,58,95,35,72,12,70,Splash Brooktail is ready to roll!,56,Healthy,No Team,No Team,0,0.0,
River Paddlemore,QB,Otter,24,28,35,71,91,28,River Paddlemore is ready to roll!,54,Healthy,No Team,No Team,0,0.0,
Brother Mule,TE,Bear,49,6,1,11,92,43,Brother Mule is ready to roll!,13,Healthy,No Team,No Team,0,0.0,
Beak of Doom Brave Waddles,TE,Goose,61,87,84,24,76,91,Beak of Doom Brave Waddles is ready to roll!,61,Benched,No Team,Auckland Spiders,0,0.0,
Iron Beak Torpedo,TE,Penguin,62,12,2,57,92,60,Iron Beak Torpedo is ready to roll!,35,Healthy,No Team,No Team,0,0.0,
Sliding Seal Killer,RB,Penguin,41,6,2,38,47,66,Sliding Seal Killer is ready to roll!,29,Healthy,No Team,No Team,0,0.0,
Iron Beak GenTooth,QB,Penguin,69,43,5,60,51,74,Iron Beak GenTooth is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Fanatic Fallen Angel,TE,Horror,43,5,82,87,83,62,Fanatic Fallen Angel is ready to roll!,79,Active,Mind Goblins,Cyprus Gods,0,8.6,
Trash Titan Scraps,TE,Raccoon,15,3,48,38,76,38,Trash Titan Scraps is ready to roll!,41,Healthy,No Team,No Team,0,0.0,
Bandit Maskwell,K,Raccoon,3,27,76,31,13,6,Bandit Maskwell is ready to roll!,9,Healthy,No Team,No Team,0,0.0,
